LUGAR,CÓDIGO,ESTADO,TEXTO,
,PC_EXPERIMENTO_14,,"De esa forma, evitaremos cualquier intento de agresión a los doctores.",
,PC_EXPERIMENTO_15,,"Ya que, si se da el caso, un pulso eléctrico con la potencia de una pistola taser la dejará fuera de combate. Lo mejor es que lo hace desde su interior.",
,PC_EXPERIMENTO_16,,"El problema de estos cacharros es que son una tecnología muy sofisticada y, por ello, muy costosa. Por lo que solo se pueden usarlo para defensa del personal científico.",
,PC_EXPERIMENTO_17,,"Fue una de las invenciones de la doctora Dimetry, creo que fue para su segundo o tercer premio nobel, aunque en los medios mostraron otros motivos.",
,PC_EXPERIMENTO_18,,"Por lo visto, para su funcionamiento, recoge hormonas y otros químicos que segrega el cuerpo cuando está a la defensiva, traduciendo si está alterado y con intenciones de atacar.",
,PC_EXPERIMENTO_19,,"Esto activa una alarma en nuestos relojes, a las que están conectadas, y antes de que puedan hacer nada se les puede electrocutar. Además, dispone de un sistema de acercamiento brusco.",
,PC_EXPERIMENTO_20,,"Lo que hace que automáticamente salte el Shock Pulse, como medida preventiva a un inminente ataque del sujeto en un estado tranquilo.",
,PC_EXPERIMENTO_21,,"Desgraciadamente, los guardias tienen que defenderse por sí mismos. No obstante, creo que están bastante bien entrenados y les dan juquetes muy interesantes.",
,PC_EXPERIMENTO_22,,Parece que ya está en la sala de experimentos. Voy para allá a recibirla. ¡Qué empiece la diversión!,
,,,,
,DOC_EXPERIMENTO_01,,Fecha 07/10/2087,
,DOC_EXPERIMENTO_02,,Los niveles de sincronización del sujeto L489A ha alcanzado el cien por ciento. Desconocemos como ha podido ocurrir.,
,DOC_EXPERIMENTO_03,,¿Tendrá algo que ver con la investigación que estaba realizando la doctora Dimetry a parte? Siempre ha sido muy opaca en cuanto a las cosas que hace fuera de este proyecto.,
,DOC_EXPERIMENTO_04,,Empiezo a creer lo que dice el doctor Castello… De ser cierto... [información deteriorada a partir de este punto],
,,,,
,,,,
LABORATORIO,,,,
,DOC_LABORATORIO_01,,Fecha 15/02/2086,
,DOC_LABORATORIO_02,,"La doctora Dimetry, ha dado la orden de extraerle al sujeto L489A varias muestas de esperma y su exhaustivo análisis genético.",
,DOC_LABORATORIO_03,,El sujeto ha sido enviado al piso de contención y retención por atacar a varios guardias. Estará tres semanas encarcelado.,
,DOC_LABORATORIO_04,,"Debemos realizar el mismo proceso con los óvulos de la sujeto R548W y, después, entregárselo todo en mano. ",
,DOC_LABORATORIO_05,,"Igual que el otro sujeto, está retenida también en contención, por haber accedido a una estancia prohibida y haber puesto en riesgo el proyecto Transferencia de Consciencia.",
,DOC_LABORATORIO_06,,"Lo extraño es que, además, haya solicitado... [información deteriorada a partir de este punto].",
,,,,
,,,,
SALA DESCANSO,,,,
,DOC1_DESCANSO_01,,PROTOCOLO,
,DOC1_DESCANSO_02,,"1.- Los sujetos de prueba tendrán libertad de movimiento en las siguientes estancias: Dormitorios, Baños, Pasillos y Sala de Espera.",
,DOC1_DESCANSO_03,,"2.- Los sujetos de prueba tienen prohibido el acceso a: Sala de Archivo, Laboratorio, Cuarto de Caldera y Energía, Sala de Seguridad y Sala de Descanso del personal.",
,DOC1_DESCANSO_04,,3.- Los sujetos de prueba solo podrán acceder temporalmente y cuando les sea solicitado a: Sala de Criogénia y Sala de Experimentos.,
,DOC1_DESCANSO_05,,"4.- Por seguridad del personal científico, a los sujetos de prueba se les debe implantar el ''Shock Pulse''. Evitar posicionarlo demasiado cerca del corazón y la cabeza.",
,DOC1_DESCANSO_06,,"5.- Seguridad deberá ir siempre en pareja de dos por las instalaciones, a excepción de posible revuelta. Deberán llevar el equipo facilitado en óptimas condiciones.",
,DOC1_DESCANSO_07,,"6.- Si el equipo de seguridad presenta desperfectos, ir a la planta de armamento y entrenamiento para solicitar uno nuevo.",
,DOC1_DESCANSO_08,,"7.- Por seguridad, y evitar escapes, cada agente tendrá una solo un Pase de Identificación. Cada 24 horas se cambiará el código de las estaciones de control, por lo que deberán ser actualizadas.",
,,,,
,DOC2_DESCANSO_01,,El proyecto Transferencia de Consciencia marcará un antes y un después en la historia de la humanidad. Eso es seguro.,
,DOC2_DESCANSO_02,,Pero ¿por qué tanto interés por parte de los gobiernos por ello? No… Hay algo más. Si atendemos que suelen estar financiados por las familias más ricas del mundo y hacen su voluntad…,
,DOC2_DESCANSO_03,,"Los Rocknoirs y los Falenties… ¿Qué intereses podrían tener en un proyecto como este? Lo curioso es que estén de acuerdo en ello, cuando por lo general suelen estar tirándose piedras o bombas…",
,DOC2_DESCANSO_04,,¿O será que ninguna de las dos sabe que la otra también está financiando el proyecto? Mmm…,
,DOC2_DESCANSO_05,,"Por lo pronto dejaré de divagar en conjeturas, cualquiera que me vea escribiendo esto, podría llamarme conspiranoica… Aunque me da que la señorita Dimetry debe saber algo…",
,DOC2_DESCANSO_06,,¿Debería acercarme a ella e intentar que me hable de ello? ,
,DOC2_DESCANSO_07,,"Ahhh, es hora de volver al laboratorio… Qué pereza…",
,,,,
,,,,
DORMITORIO CHICOS,,,,
,DOC_DORMIMASC_01,,Página 1: Fecha 30/07/2085,
,DOC_DORMIMASC_02,,"Han traído a una nueva chica como objeto de experimentos. Parece que se lo hicieron pasar muy mal el otro día, se escuchaban los gritos desde aquí.",
,DOC_DORMIMASC_03,,Son uno desalmados esa gentuza… ,
,DOC_DORMIMASC_04,,"Por desgracia, a todos nos ha tocado vivir lo mismo… Estar aquí como perros. Si hubiese alguna forma de escapar, la invitaría a hacerlo con nosotros.",
,DOC_DORMIMASC_05,,"Pero ya lo intentamos varias veces, y no hay forma… ",
,,,,
,DOC_DORMIMASC_06,,Página 2: Fecha 11/09/2085,
,DOC_DORMIMASC_07,,"Mi vecina, la pelirroja, se gana a pulso los castigos… Me duele ver como la dejan cada vez que les planta cara a esos verdugos… Aunque debería relajarse, va acabar muerta como siga así.",
,DOC_DORMIMASC_08,,"Por fuera se hace la dura y tiene un par bien puestos, pero detrás de esa fachada hay una chica delicada que está sufriendo mucho. ",
,DOC_DORMIMASC_09,,Hace unas semanas la escuché llorar en el baño. Me partió el alma… Espero que toda esta situación no acabe por destruirla psicológicamente.,
,DOC_DORMIMASC_10,,"Ojalá pudiera ayudarla de alguna forma, pero no sé como… Hace tiempo que me rendí… También aprendí por las malas que de aquí no saldremos.",
,,,,
,DOC_DORMIMASC_11,,Página 3: Fecha 22/01/2086,
,DOC_DORMIMASC_12,,"Últimamente me he cruzado bastante con la chica pelirroja cuando salimos o volvemos a las habitaciones. Aunque no hemos intercambiado palabras, aún.",
,DOC_DORMIMASC_13,,"Espero tener algún día el valor de hablarle. Aunque la vida aquí es muy tensa para todos… Ya me las ingeniaré, en algún momento, si hallo el valor. No quiero se sienta desamparada.",
,,,,
,DOC_DORMIMASC_14,,Págia 4: Fecha 08/03/2086,
,DOC_DORMIMASC_15,,"Esta noche por fin he logrado hablarle a mi vecina. La situación vivida en la Biblioteca, me dio una buena excusa para poder hablarle, por fin.",
,DOC_DORMIMASC_16,,"La situación fue muy violenta, pero como dice el dicho: ''No hay mal que por bien no venga''. Así que a pesar de la paliza y los castigos, la recompensa ha sido digna.",
,DOC_DORMIMASC_17,,"Me deja maravillado lo valiente que es, mira que atreverse a entrar en una sección prohibida… Me ha devuelto las esperanzas de poder escapar de alguna forma, a los chicos también.",
,DOC_DORMIMASC_18,,"Hemos acordado aprender algunas cosillas que sabe Mike de defensa personal, no es experto, pero nos ayudará en nuestros futuros planes. Estoy seguro de ello.",
,DOC_DORMIMASC_19,,"Esto se va a convertir en una aventura, ¡menudo subidón! ¿Soy yo o hace más calor de lo habitual?",
,,,,
,,,,
DORMITORIO CHICAS,,,,
,NARDOC_DORMIFEM_01,REMI ,Es el diario que me dieron para entretenerme… ¿Estoy segura de querer leerlo?,
,,,,
,DOC_DORMIFEM_01,,Página 1: Fecha 03/08/2085,
,DOC_DORMIFEM_02,,"*Garabato aquí, garabato allá* Aquí llevo encerrada una semana ya… Aún me duele el brazo. Sintiento las punzadas de lo que me metieron ahí… *Garabato aquí, garabato allá*.",
,,,,
,DOC_DORMIFEM_03,,Página 2: Fecha 15/08/2085,
,DOC_DORMIFEM_04,,Estos días están siendo algo más llevaderos gracias a Carla. Hace cinco días que la conocí.,
,DOC_DORMIFEM_05,,"De no ser por ella seguramente no podría estar soportando toda esta locura que está pasando en mi vida. Yo, usada como una rata de laboratorio… Creía que esto sucedía en la ficción…",
,DOC_DORMIFEM_06,,"No volveré a ver a la gente que se dedica a esto con buenos ojos, les estoy cogiendo un asco… Qué menos que tratarme como a un ser humano y no como un animal…",
,DOC_DORMIFEM_07,,Y ya no hablemos de pedirme permiso para poder usar mi cuerpo para sus…  ¡Arrg! Me siento violada en todos los sentidos.,
,,,,
,DOC_DORMIFEM_08,,Página 3: Fecha 21/08/2085,
,DOC_DORMIFEM_09,,"Hoy he intentado atacar a la doctora estirada esa con un bolígrafo, pero antes de poder coger las fuerzas necesarias y avalanzarme sobre ella, mi cuerpo empezó a temblar…",
,DOC_DORMIFEM_10,,"Como cuando alguien se electrocuta. Aún ando algo entumecida… Tal vez sea lo que me metieron cuando me trajeron aquí. Tendré que probar otra cosa… *Garabato aquí, garabato allá*",
,,,,
,DOC_DORMIFEM_11,,Página 4: Fecha 13/03/2086,
,DOC_DORMIFEM_12,,"El chico que me ayudó en la biblioteca, me habló la otra noche. Y desde entonces hablamos algo siempre que podemos. Es bastante simpático, aunque sus bromas son un poco… ",
,DOC_DORMIFEM_13,,"¿Cómo puede tener ese humor en un sitio así? Lo normal sería estar como yo, amargada todo el día... ",
,DOC_DORMIFEM_14,,"Aunque tal vez tenga razón, debería relajarme un poco y no estar con todos a la defensiva, al menos no con los que sufrimos lo mismo. Tal vez me abra a los demás, pero eso, solo un poco.",
,,,,
,DOC_DORMIFEM_15,,Página 5: Fecha 24/06/2086,
,DOC_DORMIFEM_16,,*Garabato de carita feliz y corazones* Estoy que no me lo creo… En serio… ¿Cómo ha podido pasar?,
,DOC_DORMIFEM_17,,"Se me ha declarado en el cuarto de la limpieza. Lo más gracioso ha sido con qué lo ha hecho… Me ha hecho mucha gracia, no podía parar de reir.",
,DOC_DORMIFEM_18,,"Pero también me ha hecho ilusión. Desde que lo conozco, extraños sentimientos han estado pululando dentro de mi, diferentes a todo el rencor y amargura que le he cogido a esta gente que trabaja de la ciencia.",
,DOC_DORMIFEM_19,,Pero lo de esta tarde… Ha hecho aflorar algo que nunca pensé que llegaría a sentir nunca más. Ha sido… ¡Buah! ¡No tengo palabras!,
,DOC_DORMIFEM_20,,"Ya estaba empezando a sentir algo por él, pero no quería dejarlo salir, no estando aquí enjaulada… Pero cuando se ha arrodillado y me ha dicho todo eso… Ha sido como una bomba atómica.",
,DOC_DORMIFEM_21,,¡IMPARABLE!,
,DOC_DORMIFEM_22,,"No he podido contener la alegría, el subidón de energía que ha recorrido mi cuerpo y… Ver esos ojillos que irradiaban esperanza y felicidad, y esa sonrisilla... Me ha derretido el bloque que tenía ya por corazón.",
,DOC_DORMIFEM_23,,"*Garabato de dos muñecos agarrándose de las manos, estrellas y corazones*",
,,,,
,,,,
CUARTO DE LIMPIEZA,,,,
,NAR_CADAVERLHOY_01,REMI,Aquí también hay un cadaver.,
,NAR_CADAVERLHOY_02,REMI,Espera… ¿qué tiene en la mano?,
,NAR_CADAVERLHOY_03,REMI,Este botón… Con esas iniciales pintadas…,
,NAR_CADAVERLHOY_04,REMI,¡Noooo…! ¡No puede ser…! ¿Lhoy?,
,NAR_CADAVERLHOY_05,REMI,Mi Lhoy… ¡Noooooo! ¿Qué te hicieron? *Sollozo*,
,,,,
,,,,
BIBLIOTECA,,,,
,ARCHIVO1_BIBLIO_01,,Fecha: 16/03/2082,
,ARCHIVO1_BIBLIO_02,,"Gracias a los esfuerzos y la ayuda de la doctora Dimetry, hemos logrado finalizar un prototipo funcional de la ''Raíz Matriz''.",
,ARCHIVO1_BIBLIO_03,,"Este aparato, que actuará como un catalizador o cerebro artificial, para que nos entendamos, permitirá albergar la consciencia de un ser humano. ",
,ARCHIVO1_BIBLIO_04,,"Es normal que la consideren una eminencia. Sin su idea de codificar y digitalizar el adn de una persona en algoritmos, para insertarlo como código matriz en la máquina, nunca habríamos llegado tan lejos.",
,ARCHIVO1_BIBLIO_05,,"Pero, es que además, resolvió la otra problemática. La de como hacer que la propia mente reconozca a la Raíz Matriz como el mismo cerebro de su usuario.",
,ARCHIVO1_BIBLIO_06,,Dijo: ''¿Y si probamos a usar neuronas reales implantadas en las própias cédulas de los chips y conexiones de la Raíz Matriz?'',
,ARCHIVO1_BIBLIO_07,,"'Conociendo la información genética de los sujetos podremos recrearlas de forma sintética, con las características del sujeto.''",
,ARCHIVO1_BIBLIO_08,,"Estas dos cosas, la codificación y la implantación de neuronas en los chips, al trabajar simultáneamente, hacen posible la Transferencia de Consciencia. En teoría.",
,ARCHIVO1_BIBLIO_09,,Ya solo quedaría instalarselo a los sujetos y empezar las pruebas. Todo apunta a ser un éxito.,
,,,,
,ARCHIVO2_BIBLIO_01,,Fecha: 04/06/2082,
,ARCHIVO2_BIBLIO_02,,"Tras varios meses de prueba, seguimos sin conseguir que haya una conexión estable. El nivel de sincronización solo alcanza un cinco por ciento.",
,ARCHIVO2_BIBLIO_03,,Hemos comprobado que la Raíz Matriz de los sujetos tome correctamente las señales electricas de sus cerebros y que sean transmitidas optimamente a la de las máquinas.,
,ARCHIVO2_BIBLIO_04,,"A pesar de seguir al pie de la letra las indicaciones de la doctora Dimetry, no logramos que suba de ese porcentaje.",
,ARCHIVO2_BIBLIO_05,,"Sin embargo, el que estos cacharros ya sean funcionales y no estallen dentro de los pacientes, es todo un logro. Al menos ya no habrán más matanzas por nuestra mano, o no tande seguido.",
,,,,
,ARCHIVO3_BIBLIO_01,,Fecha: 22/08/2082,
,ARCHIVO3_BIBLIO_02,,Hace poco nos llegó un sujeto que presenta extrañas mutaciones en su código genético. ,
,ARCHIVO3_BIBLIO_03,,"Lo curioso, es que al realizar las pruebas de Transferencia de consciencia, los niveles de sincronización han subido cerca del dieciocho por ciento. Es la cifra más alta alcanzada.",
,ARCHIVO3_BIBLIO_04,,"Según la doctora Dimetry, es posible que esas características diferenciales en el ADN tengan la respuesta para lograr el objetivo.",
,ARCHIVO3_BIBLIO_05,,"Para salir de dudas, se ha solicitado al gobierno que, de querer seguir con el proyecto, deben enviarnos personas que presenten esas mismas mutaciones en el ADN o lo más parecidas posible.",
,,,,
,PC_BIBLIO_01,,Fecha: 01/12/2087,
,PC_BIBLIO_02,,"Hace prácticamente dos meses que el gobierno intentó invandir estas instalaciones, al filtrarse una pequeña parte de nuestro plan encubierto: Proyecto Arca y Proyecto Derrumbe.",
,PC_BIBLIO_03,,El doctor Castello empezó a sospechar en algún momento de que algo tramaba. Ese viejo zorro era muy astuto…,
,PC_BIBLIO_04,,"En vista de que cada vez se acercaba más, para evitar que descubriese todo, dejé una pequeña pista para desviar su atención a otro punto. Eso lo llevó a informar al Estado.",
,PC_BIBLIO_05,,"Pero no vio venir que ya lo había descubierto a él mucho antes. Continué como si no supiese nada, hasta el último segundo, atrayéndolo a su propia condena.",
,,,,
,PC_BIBLIO_06,,Fecha: 05/12/2087,
,PC_BIBLIO_07,,"Desde el incidente está todo muy tranquilo. No es de extrañar, en el edificio solo quedamos dos personas vivas, por así decirlo. La sujeto R548W, en estado de crionización, y yo.",
,PC_BIBLIO_08,,"El resto, en esta planta, perecerieron a manos de… Bueno, no es importante. Aúnque sabiendo que vendría a por mí, tuve que adelantarme… No me siento orgullosa de ello. Perdóname.",
,PC_BIBLIO_09,,En cuanto al resto del personal e invasores que lograron entrar en el edificio fue una masacre… Los sistemas de seguridad hicieron su trabajo y continúan haciéndolo.,
,PC_BIBLIO_10,,"Sin embargo, parece que el sistema tiene algún tipo de error que no logra identificar óptimamente a enemigos de aliados, atacando a todo lo que entre en su campo de visión.",
,PC_BIBLIO_11,,"Por mí bien, así estaré protegida un tiempo. Sin interrupciones del gobierno… O mejor dicho de los benefactores que andan en guerra por controlar el mundo...",
,PC_BIBLIO_12,,"De esta forma, y por prevención, seguiré manteniendo sellada esta planta. La comida no es un problema, trato de sobrevivir con las existencias de las máquinas expendedoras…",
,,,,
,PC_BIBLIO_13,,Fecha: 25/12/2087,
,PC_BIBLIO_14,,"La sujeto R548W, Reminiscence White, permanece estable en la cápsula de criogénia. ",
,PC_BIBLIO_15,,"Continúo aplicándole el suero a través de las válvulas de vapor helado de la cámara. Calculo que en unos meses ya podré marcharme con el equipo del Proyecto Arca, a menos que me requieran en Derrumbe.",
,,,,
,SECRET_BIBLIO_01,REMI,Mmm… Probaré con las palabras que encontré en el dormitorio: Free Wings…,
,SECRET_BIBLIO_02,REMI,"¡Sí, tengo acceso!",
,,,,
,PC_BIBLIO_16,,Fecha: 29/12/2087,
,PC_BIBLIO_17,,"En varias ocasiones de, esta especie de diario, he mencionado los Proyectos Arca y Derrumbe.",
,PC_BIBLIO_18,,"Bien, lo primero que hay que aclarar es que formo parte de una organización que busca liberar a todos los países de sus gobiernos y, especialmente, de aquellos que los maneja. Los Rocknoirs y los Falenties",
,PC_BIBLIO_19,,"Las dos familias más ricas del mundo, pero no por sus buenas obras, precisamente. Extorsión, asesinato, engaño y control, son algunas de las cosas que rigen sus mantras.",
,PC_BIBLIO_20,,"En definitiva, mafias a nivel mundial en una constante guerra en las sombras por el control del mundo. Los gobiernos son solo sus títeres.",
,PC_BIBLIO_21,,"Es aquí donde entramos nosotros, Liberalys. Una organización que busca sanar al mundo de la enfermedad que provoca toda esa mugre psicópata y sus marionetas.",
,PC_BIBLIO_22,,"Sin embargo, aunque es por un bien mayor, no podemos considerarnos héroes. Más bien, justicieros, pues nuestras manos también están manchadas de sangre…",
,PC_BIBLIO_23,,Es algo con lo que deberemos cargar el resto de nuestra existencia en este mundo.,
,PC_BIBLIO_24,,"Ahora dejaré constancia en que consisten ambos proyectos, por lo que pueda pasar.",
,PC_BIBLIO_25,,"Proyecto Arca consiste en la creación de una ciudadela, ''Bastión Esperanza'', altamente cualificada tecnológicamente a nivel defensivo para proteger a los ciudadanos que logremos rescatar.",
,PC_BIBLIO_26,,También será el lugar desde donde opere nuestro ejercito con la habilidad de Transferencia de Consciencia. Protegiendo sus vidas reales.,
,PC_BIBLIO_27,,"No permitiremos que nadie más muera en nombre de la paz y la libertad, excepto aquellos que deseen seguir queriendo controlar a la humanidad.",
,PC_BIBLIO_28,,"En cuanto al proyecto Derrumbe, consiste en la aniquilización total de los gobiernos y sus benefactores. El sistema enfermizo que doblega a la sociedad, caerá como Goliat al ser vencido por David.",
,PC_BIBLIO_29,,"Posiblemente haya víctimas, de fanáticos sectarios que defiendan a capa y espada a los enemigos del mundo, pero eso es culpa de ellos por no querer ver más allá de su hocico.",
,,,,
,PC_BIBLIO_30,,Fecha: 05/03/2088,
,PC_BIBLIO_31,,"Ya han dado vía libre para revelar, a cada una de las familias millonarias, las intenciones de una y otras con el proyecto Transferencia de Consciencia. ",
,PC_BIBLIO_32,,"En los próximos días, en cuanto lo manden, el mundo entero se convertirá en una zona de guerra entre los Rcknoirs y los Falenties. Después nos encargaremos de quien salga triunfante, de quedar algo en pie.",
,PC_BIBLIO_33,,"Gracias al proyecto Arca, hay gente que ya está a salvo. Esperamos poder salvar a más, antes de que todo termine de estallar.",
,PC_BIBLIO_34,,"Dicho esto, aquí concluye este diario. Ya que procederé a irme de estas instalaciones por la salida secreta en el ala Este. Desconectaré el generador de energía principal para que el sistema de seguridad no me ataque.",
,PC_BIBLIO_35,,"En cuanto a la sujeto R548W, debería estar bien. La capsula contiene su propio generador retroactivo, aunque desconozco su durabilidad.",
,PC_BIBLIO_36,,"No se si cuando despierte, Reminiscence White leerá esto, pero quiero que sepa que lo siento mucho, por todo. ",
,PC_BIBLIO_37,,"Si logras salir de aquí, dirígete a Bastión Esperanza. De seguir con vida, quiero que seas tú mi jurado, juez y verdugo, por haber sido partícipe de tu dolor y de otras personas inocentes.",
,,,,
,,,,
,,,,
,NEGA_ROBOT_01,ROBOT (REMI),Mmm… Con estas manazas podría destrozarlo. Mejor le echo un vistazo cuando esté en mi cuerpo.,
,,,,
,NEGA_ROBOT_02,ROBOT (REMI),"¿¡Remi, estás loca!? ¡Con estas manos te lo vas a cargar!",
,,,,
,NEGA_ROBOT_03,ROBOT (REMI),Debería usar mi cuerpo para leer… Aunque me de pereza cambiar solo para eso...,
